departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
El Paraiso,San Matias,HN07,HN0713,0.40560228930820164,1.0,0.79,1.0,0.64,1.0,0.7741935483870968,0.6451612903225806,0.5737704918032787,0.8637017070979336,0.6660176985673466
La Paz,Lauterique,HN12,HN1207,0.708877328413443,0.4099999999999999,1.0,1.0,0.06999999999999995,0.05999999999999994,0.903225806451613,0.4623655913978494,0.7540983606557377,0.7956873315363882,0.6609974621209067
Intibuca,Concepcion,HN10,HN1004,0.7596952097937206,0.30000000000000004,1.0,1.0,0.09000000000000008,0.040000000000000036,0.6451612903225807,0.6451612903225806,0.6557377049180327,0.8611859838274933,0.6603534342378388
Choluteca,San Isidro,HN06,HN0613,0.7352846599774603,0.39,0.5900000000000001,1.0,0.09000000000000008,0.050000000000000044,0.903225806451613,1.0,0.6885245901639343,0.8216531895777178,0.6593609573533732
Comayagua,Las Lajas,HN03,HN0320,0.3545703422733313,1.0,1.0,1.0,0.49,1.0,0.6451612903225807,0.6451612903225806,0.7049180327868854,0.8159928122192274,0.6565584462317611
Comayagua,Lamani,HN03,HN0307,0.5985158228267081,0.32999999999999996,0.6,1.0,0.7,1.0,0.8064516129032259,0.6451612903225806,0.6557377049180327,0.6243486073674752,0.6545343305082212
Choluteca,Santa Ana De Yusguare,HN06,HN0616,0.7450333609287912,0.26,0.44999999999999996,1.0,0.5900000000000001,0.37,0.8064516129032259,0.6451612903225806,0.4918032786885245,0.8596585804132973,0.6509530235255817
Francisco Morazan,Ojojona,HN08,HN0813,0.6046293353786015,0.47,0.85,1.0,0.42999999999999994,0.42000000000000004,0.7096774193548385,0.6451612903225806,0.7377049180327869,0.7373764600179694,0.6505671148650054
Lempira,Tomala,HN13,HN1325,0.7284546748966094,0.3400000000000001,1.0,1.0,0.08000000000000007,0.030000000000000027,0.8064516129032259,0.6451612903225806,0.5081967213114754,0.8461814914645103,0.6448421187817346
Lempira,San Marcos De Caiquin,HN13,HN1328,0.7106574776792121,0.35,1.0,1.0,0.25,0.4099999999999999,0.6451612903225807,0.2795698924731182,0.7049180327868854,0.6441150044923629,0.6439215929586598
Lempira,Gualcince,HN13,HN1306,0.6691502661831361,0.28,1.0,1.0,0.05999999999999994,0.20999999999999996,0.7419354838709677,0.6451612903225806,0.8360655737704918,0.6838274932614555,0.6415660934156795
Intibuca,Colomoncagua,HN10,HN1003,0.7500995888657024,0.30999999999999994,0.66,1.0,0.15999999999999992,0.010000000000000009,0.7419354838709677,0.6451612903225806,0.7540983606557377,0.787151841868823,0.641234069903839
